°í°´ID ,°¡Á·°í°´ID,°¡Á·°ü°è
21564,20967,13
20672,6462,12
1342,12929,17
19239,18556,13
1649,13961,13
15039,13961,13
15963,5767,14
10455,15377,12
12657,17146,99
12921,19488,13
10985,10986,14
9790,19390,14
10221,16258,13
20267,14629,14
21575,5934,17
6504,2839,13
14300,14405,12
20534,12708,14
14611,11714,13
15028,15015,17
3547,5105,13
3363,15070,14
1068,14981,17
5844,11785,13
20882,6532,12
17963,13530,12
4372,11834,13
21022,5968,14
15525,5218,13
18368,8499,14
1696,3990,16
16131,14705,14
4502,3129,12
14487,16787,17
9963,10560,17
5949,22242,99
17331,8408,14
2187,18102,13
10097,5622,12
14981,10744,14
14845,16596,13
8335,11804,13
11546,14610,14
9454,12735,14
16134,19757,14
13530,17963,12
3534,10221,17
5887,10221,99
8347,21277,13
4182,17598,17
8620,1893,12
3709,3190,13
525,5841,14
13961,1649,14
12469,11299,13
8228,11749,12
14038,8338,14
8058,8132,99
8113,560,99
12825,1600,13
10932,11723,13
11306,2891,12
9542,2482,18
21346,21705,12
5887,3534,99
1567,1696,13
14558,21168,12
2993,10926,14
11398,15244,14
9848,16964,14
21916,1933,17
7217,7831,99
5852,4923,13
3408,1525,13
18537,7413,12
14725,8058,17
16989,11721,13
16012,19209,14
17574,4182,99
5949,18165,13
7710,6053,12
1909,11633,13
14786,810,13
16787,14487,17
9963,3990,14
16853,12428,17
19193,18333,13
5218,15525,14
9790,19317,14
15836,7036,12
22034,12277,17
7803,14817,14
10837,21738,14
772,5368,12
1188,13644,13
257,15188,16
12640,12082,13
14629,20267,13
12504,3720,17
1086,1109,12
15010,3567,99
14986,12728,17
5767,15963,13
17717,4471,12
22161,9098,13
19652,4003,14
2760,2695,12
19209,16012,13
14650,3418,12
14981,1068,17
3611,18394,13
17057,19277,17
16099,20684,12
18165,5949,14
8058,5949,16
19774,17551,12
10897,6519,14
4824,7636,14
14817,7803,13
2839,6504,14
15188,257,15
9326,5816,14
10560,1696,13
12957,9790,17
20967,21564,14
12390,13918,13
11633,1909,14
12894,1336,99
15244,11398,13
16772,21387,17
18165,8058,99
2593,11479,12
15700,19130,14
17983,18699,14
10228,13441,13
3741,8621,15
12204,1212,12
1567,9963,17
17598,4182,17
4181,20539,13
560,8113,99
5368,772,12
4664,21481,14
985,10293,14
4965,17021,14
2051,17724,13
5949,14725,17
12329,4658,13
8058,22242,99
361,15873,12
12848,5119,13
6485,8665,13
11557,4927,12
18699,17983,13
8775,2601,13
13441,12539,14
19130,15700,13
17752,19960,13
17574,17598,99
3716,1962,17
12929,1342,17
8060,472,13
20676,5782,14
11723,10932,14
21459,21972,13
22211,22080,17
16112,16012,12
11749,8228,12
1212,12204,12
15070,3363,13
1897,2589,12
10221,3534,17
9963,1696,13
18102,2187,14
10857,9790,13
12495,5225,13
13558,18107,13
985,16781,17
20572,12960,14
19651,13918,12
15113,19640,17
10573,6191,13
1733,6191,13
13644,1188,14
7036,15836,12
18333,19193,14
13143,22182,12
10744,14981,13
10251,11785,13
19495,17196,12
13263,19941,13
472,8060,14
11785,10251,14
14682,9247,13
15015,15028,17
1600,12825,14
4658,12329,14
16809,16926,17
4909,15724,12
17021,4965,13
11721,16989,14
13189,6565,12
7424,19538,14
22242,14725,14
11299,12469,14
13918,12390,14
19277,14095,13
9247,14682,14
22052,16568,12
11368,21396,13
12708,20534,13
6519,10897,13
19757,16134,13
5445,17732,99
5841,525,13
21972,21459,14
10074,12382,17
14610,11546,13
17146,12657,99
21481,4664,13
9790,10857,14
18165,8132,99
13179,6208,12
18394,12478,14
4927,11557,12
22080,22211,17
9918,939,17
17574,11703,13
10926,2993,13
14095,19277,14
1962,3716,17
1011,257,13
12007,14023,12
19317,9790,13
16438,9133,14
4923,5852,14
4183,21448,17
13987,19313,14
939,9918,17
21448,4183,17
20684,16099,12
12382,10074,17
19960,17752,14
10337,1121,13
20165,20276,12
19640,15113,17
5225,12495,14
13411,20220,13
4003,19652,13
18352,21309,14
12390,19651,13
1696,9963,14
10560,9963,17
12277,22034,17
110,8661,14
3418,14650,12
8132,18165,99
21387,16772,17
11703,17574,14
16527,22258,12
15724,4909,12
14705,16131,13
12428,16853,17
285,15250,16
14725,22242,13
11834,4372,14
10603,17380,13
18405,18283,12
11785,5844,14
17380,10603,14
19538,7424,13
1696,1567,14
9963,1567,17
15761,12867,17
21738,10837,13
14690,16363,13
19230,17942,13
8408,17331,13
16012,16112,12
19209,16112,13
10930,11221,12
14023,12007,12
7413,18537,12
2589,1897,12
2810,7178,12
12645,2996,12
5949,8132,99
1906,8636,13
5685,20685,13
3852,2012,14
14725,5949,17
15873,361,12
8629,14679,13
12960,20572,13
9790,12957,17
7636,4824,13
10293,985,13
3129,4502,12
257,1011,14
9108,21820,14
21309,18352,13
13918,19651,12
9133,16438,13
10986,10985,13
3190,3709,14
21401,4965,13
1525,3408,14
545,7250,12
15250,285,15
21401,17021,99
8058,14725,17
18107,13558,14
1109,1086,12
18165,22242,99
19651,12390,14
12082,12640,14
5968,21022,13
19488,12921,14
11714,14611,14
19277,17057,17
14095,17057,14
5622,10097,12
17317,22156,12
20220,13411,14
13506,8104,14
17942,19230,14
21396,11368,14
6132,3567,99
15176,21615,16
7250,545,12
6208,13179,12
22156,17317,12
7178,2810,12
6191,10573,14
2012,3852,13
2482,9542,99
4965,21401,14
8104,13506,13
12478,18394,13
12867,15761,17
13441,10228,14
21820,9108,13
21705,21346,12
3720,12504,17
6053,7710,12
5119,12848,14
4603,3630,14
16781,985,17
19313,13987,13
21277,8347,14
16964,9848,13
11804,8335,14
1121,10337,14
10140,10178,17
6532,20882,12
16596,14845,14
3990,9963,13
16112,19209,14
8621,3741,16
8338,14038,13
18556,19239,14
2601,8775,14
8661,110,13
18394,3611,14
1893,8620,12
2695,2760,12
8279,6085,12
16781,10293,14
16926,16809,17
6565,13189,12
1696,10560,14
19546,10491,17
8665,6485,14
17057,14095,13
5816,9326,13
20276,20165,12
17551,19774,12
15377,10455,12
16258,10221,14
5934,21575,17
14679,8629,14
5105,3547,14
2996,12645,12
11221,10930,12
21880,20987,12
18283,18405,12
20987,21880,12
14,17262,14
3630,4603,13
17021,21401,99
21901,11562,99
2891,11306,12
12728,14986,17
20539,4181,14
11479,2593,12
6462,20672,12
22182,13143,12
17262,14,13
3990,1696,15
19390,9790,13
13961,15039,14
16568,22052,12
22258,16527,12
10178,10140,17
4471,17717,12
10293,16781,13
17724,2051,14
5782,20676,13
1933,21916,17
5949,8058,15
8499,18368,13
12539,13441,13
17196,19495,12
20685,5685,14
14405,14300,12
12735,9454,13
16363,14690,14
6085,8279,12
8636,1906,14
10491,19546,17
9098,22161,14
6191,1733,14
810,14786,14
21168,14558,12
19941,13263,14
21615,15176,15
