고객ID ,데이터셋 구분,보험사기자여부,성별,연령,주택가격,거주TYPE,FP경력,고객등록년월,시도구분,직업그룹코드1,직업그룹코드2,납입총보험료,신용등급(최소),신용등급(최대),결혼여부,배우자직업그룹코드1,배우자직업그룹코드2,자녀수,막내자녀연령,최대보험료연월,최대보험료,고객추정소득,추정가구소득1,추정가구소득2
1,1,N,2,47,21111,20,N,199910,충북,3.사무직,사무직,146980441,,,Y,3.사무직,2차산업 종사자,2,13,200811,319718,4879,10094,11337
2,1,N,1,53,40000,20,N,199910,서울,3.사무직,사무직,94600109,1,6,Y,1.주부,주부,2,17,200012,341341,6509,9143,6509
3,1,N,1,60,0,,N,199910,서울,5.서비스,2차산업 종사자,18501269,,,N,,,0,0,200305,131300,4180,0,4180
4,1,N,2,64,12861,40,Y,199910,경기,2.자영업,3차산업 종사자,317223657,2,99,N,,,0,0,201009,1493184,,4270,5914
5,1,N,2,54,0,,Y,199910,광주,2.자영업,3차산업 종사자,10506072,8,8,Y,3.사무직,고위 공무원,3,19,200807,166760,3894,0,8885
6,1,N,1,62,6218,99,N,199910,충남,3.사무직,고위 공무원,22313040,6,6,Y,1.주부,주부,1,34,201606,82850,,0,6449
7,1,Y,2,60,11388,30,N,199910,서울,5.서비스,3차산업 종사자,46522197,,,Y,,,1,26,200903,482077,3611,0,3611
8,1,N,1,57,86527,20,Y,199910,서울,2.자영업,자영업,151085847,,,Y,2.자영업,3차산업 종사자,1,21,200610,10283415,6465,12219,12063
9,1,N,1,54,22638,20,N,199910,서울,4.전문직,공무원,3666050,6,6,Y,4.전문직,공무원,1,13,200207,29,4975,7553,9821
12,1,N,1,58,37222,20,N,199910,서울,4.전문직,대학교수/강사,135719262,6,8,Y,4.전문직,교사,2,23,200403,724768,8780,10466,13858
13,1,Y,1,63,8140,50,N,199910,경기,6.제조업,운전직,33261687,6,7,Y,5.서비스,예체능계 종사자,0,0,199812,483850,,4066,
15,1,N,1,59,23055,20,N,199910,서울,3.사무직,사무직,33336919,,,Y,1.주부,주부,0,0,200512,594075,4362,6654,4362
16,1,N,2,52,6684,12,N,199910,전북,1.주부,주부,77429702,6,6,Y,3.사무직,사무직,0,0,201301,2062433,0,5285,5620
17,1,N,1,68,14027,20,N,199910,대구,5.서비스,2차산업 종사자,10122595,,,Y,1.주부,주부,0,0,200305,229500,,4538,5869
18,1,N,1,48,33333,20,N,199910,경기,5.서비스,2차산업 종사자,10317997,10,8,Y,3.사무직,단순 사무직,4,6,201310,458095,5911,9026,10079
